fixed acidity	volatile acidity	citric acid	residual sugar
5.6	0.19	0.39	1.1
6.8	0.18	0.28	8.7
7	0.29	0.26	1.6
6.6	0.26	0.29	1.4
6.8	0.18	0.28	8.5
6.6	0.2	0.38	7.9
8	0.29	0.29	13.2
6.1	0.28	0.35	12.8
5.9	0.31	0.3	7.7
6.9	0.21	0.28	2.4
8.4	0.19	0.42	1.6
8.3	0.27	0.45	1.3
7.1	0.25	0.39	2.1
8	0.23	0.37	9.6
7.5	0.24	0.31	13
6.3	0.33	0.2	5.8
6.2	0.33	0.19	5.6
6.3	0.34	0.19	5.8
5.8	0.29	0.05	0.8
8	0.32	0.26	1.2
5.6	0.29	0.05	0.8
7.4	0.13	0.39	4.7
7.7	0.3	0.32	1.6
7	0.24	0.34	1.4
8.6	0.18	0.4	1.1
7	0.11	0.32	4.6
7.7	0.32	0.62	10.6
7.7	0.32	0.62	10.6
6.5	0.26	0.27	12.9
7.9	0.28	0.41	2
6.3	0.27	0.23	2.9
5.4	0.595	0.1	2.8
6.7	0.25	0.33	2.9
6.5	0.25	0.35	12
6.1	0.36	0.58	15
7.7	0.17	0.52	5.9
6.4	0.26	0.43	12.6
6.5	0.26	0.28	12.5
5.9	0.29	0.33	7.4
6.2	0.28	0.43	13
6.1	0.27	0.44	6.7
6.4	0.43	0.32	1.4
6.1	0.36	0.58	15
6.2	0.35	0.29	7.3
7.7	0.24	0.29	15.3
6.2	0.34	0.28	7.5
6.3	0.27	0.46	11.75
5.4	0.415	0.19	1.6
6.9	0.48	0.36	3.5
6.5	0.18	0.33	8
6.7	0.15	0.29	5
8.2	0.345	1	18.2
8.5	0.16	0.35	1.6
6.8	0.705	0.25	3.2
7.3	0.25	0.39	6.4
7.6	0.345	0.26	1.9
7.6	0.22	0.34	9.7
6.5	0.17	0.33	1.4
8.2	0.23	0.37	1.3
7.6	0.22	0.34	9.7
7.6	0.345	0.26	1.9
7.5	0.32	0.26	1.8
6.6	0.23	0.32	0.9
6.6	0.2	0.32	1.1
7.3	0.24	0.34	15.4
7.3	0.24	0.34	15.4
8	0.42	0.36	5
7.3	0.24	0.34	15.4
6.1	0.19	0.25	4
5.9	0.26	0.21	12.5
8.3	0.23	0.43	3.2
6.5	0.34	0.28	1.8
6.8	0.22	0.35	17.5
6.5	0.08	0.33	1.9
5.5	0.42	0.09	1.6
5.1	0.42	0.01	1.5
6	0.27	0.19	1.7
6.8	0.22	0.35	17.5
6.5	0.08	0.33	1.9
7.1	0.13	0.38	1.8
7.6	0.3	0.25	4.3
6.6	0.13	0.3	4.9
6.5	0.14	0.33	7.6
7.7	0.28	0.33	6.7
6	0.2	0.71	1.6
6	0.19	0.71	1.5
7.7	0.28	0.33	6.7
5.1	0.39	0.21	1.7
5.7	0.36	0.34	4.2
6.9	0.19	0.33	1.6
6	0.41	0.21	1.9
7.4	0.28	0.3	5.3
7.4	0.3	0.3	5.2
6.9	0.19	0.33	1.6
7.7	0.28	0.39	8.9
8.6	0.16	0.38	3.4
8.2	0.26	0.44	1.3
6.5	0.25	0.27	15.2
7	0.24	0.18	1.3
8.6	0.18	0.36	1.8
7.8	0.27	0.34	1.6
6	0.26	0.34	1.3
6.1	0.24	0.27	9.8
8	0.24	0.3	17.45
7.6	0.21	0.6	2.1
8	0.19	0.36	1.8
6.4	0.28	0.41	6.8
6.4	0.28	0.43	7.1
6.9	0.24	0.39	1.3
5.8	0.36	0.26	3.3
6.6	0.18	0.28	3.3
5.8	0.36	0.26	3.3
5.1	0.52	0.06	2.7
6.6	0.22	0.37	1.2
8.3	0.15	0.39	1.3
7.6	0.16	0.44	1.4
7.7	0.16	0.41	1.7
8.3	0.16	0.48	1.7
6.2	0.25	0.47	11.6
6.1	0.16	0.27	12.6
7.6	0.39	0.22	2.8
6.8	0.37	0.47	11.2
7.6	0.16	0.44	1.4
7.1	0.18	0.42	1.4
8.3	0.14	0.26	1.5
8.6	0.2	0.42	1.5
8.6	0.2	0.42	1.5
6.8	0.19	0.32	7.05
7.6	0.19	0.38	10.6
6.8	0.34	0.74	2.8
6.2	0.15	0.46	1.6
6.6	0.14	0.44	1.6
8	0.55	0.17	8.2
7	0.24	0.35	1.5
6.3	0.6	0.44	11
7.1	0.2	0.41	2.1
6.2	0.34	0.29	7.6
7.1	0.3	0.36	6.8
7.1	0.3	0.36	6.8
7.9	0.64	0.46	10.6
8.8	0.17	0.38	1.8
7.5	0.17	0.37	1.5
7.1	0.47	0.24	6
7.1	0.15	0.34	5.3
7.5	0.17	0.34	1.4
8.2	0.68	0.3	2.1
7.7	0.275	0.3	1
7.3	0.49	0.32	5.2
7.5	0.33	0.48	19.45
7.2	0.21	0.37	1.6
7.3	0.15	0.4	2
6.5	0.19	0.1	1.3
7	0.31	0.52	1.7
8.3	0.4	0.38	1.1
6.1	0.37	0.36	4.7
7.3	0.24	0.34	7.5
6.9	0.21	0.81	1.1
7.6	0.29	0.42	1.3
9.4	0.29	0.55	2.2
7	0.31	0.52	1.7
8.6	0.26	0.41	2.2
7.5	0.21	0.34	1.2
7.2	0.51	0.24	10
7.5	0.21	0.34	1.2
5.3	0.3	0.2	1.1
8	0.26	0.36	2
7	0.21	0.28	7.5
6.7	0.26	0.26	4
6.7	0.26	0.26	4.1
8.1	0.26	0.37	1.9
8.3	0.22	0.38	14.8
6.4	0.3	0.51	5.5
7.5	0.19	0.34	2.6
8.8	0.33	0.44	6.35
6.9	0.2	0.36	1.5
8	0.37	0.32	1.6
8.3	0.22	0.38	14.8
8.2	0.29	0.33	9.1
7.7	0.34	0.3	8
6.2	0.55	0.45	12
6.4	0.4	0.19	3.2
7.5	0.28	0.33	7.7
7.8	0.26	0.44	1.3
6.5	0.26	0.34	16.3
6.3	0.34	0.29	6.2
6.8	0.15	0.33	4.7
6.3	0.27	0.25	5.8
6.3	0.27	0.25	5.8
7.4	0.2	0.37	16.95
6.3	0.23	0.21	5.1
7.3	0.31	0.69	10.2
5.2	0.24	0.45	3.8
7	0.24	0.32	1.3
7.4	0.2	0.37	16.95
7	0.17	0.33	4
8.3	0.21	0.58	17.1
7.2	0.21	0.35	14.5
7.1	0.21	0.4	1.2
8.4	0.17	0.31	6.7
7.4	0.24	0.31	8.4
5.3	0.24	0.33	1.3
6.5	0.28	0.26	8.8
6.3	0.23	0.21	5.1
6.5	0.29	0.25	10.6
5.8	0.29	0.21	2.6
6.3	0.27	0.25	5.8
6.3	0.17	0.42	2.8
6.3	0.16	0.4	1.6
7.9	0.29	0.39	6.7
7.3	0.31	0.69	10.2
5.5	0.32	0.45	4.9
5.2	0.24	0.45	3.8
7.2	0.37	0.15	2
6.1	0.29	0.27	1.7
9.2	0.22	0.4	2.4
7.2	0.37	0.15	2
8	0.18	0.37	1.3
6.5	0.22	0.34	12
7.4	0.18	0.4	1.6
6.5	0.52	0.17	1.4
7	0.15	0.38	2.2
5.9	0.415	0.13	1.4
8.1	0.45	0.34	8.3
5.8	0.415	0.13	1.4
6.4	0.5	0.16	12.9
6.7	0.105	0.32	12.4
6	0.4	0.3	1.6
6.6	0.25	0.39	1.45
9.8	0.36	0.45	1.6
9.6	0.23	0.4	1.5
6.3	0.55	0.45	13
6.5	0.115	0.29	1.95
6.4	0.125	0.29	5.85
5.7	0.1	0.27	1.3
7.9	0.25	0.29	5.3
6.9	0.2	0.28	1.2
6.9	0.23	0.34	4
6.8	0.39	0.31	14.35
8.7	0.22	0.42	2.3
7.4	0.41	0.34	4.7
6.7	0.25	0.34	12.85
6	0.26	0.42	5.2
6.1	0.31	0.37	8.4
9.2	0.28	0.46	3.2
9	0.31	0.49	6.9
8.5	0.16	0.33	1
9.3	0.34	0.49	7.3
9.2	0.28	0.46	3.2
7.2	0.24	0.3	1.6
7.2	0.25	0.32	1.5
6.8	0.32	0.18	7.5
9.1	0.27	0.32	1.1
8.9	0.34	0.32	1.3
7	0.17	0.37	5.7
6.7	0.25	0.23	7.2
6.9	0.32	0.17	7.6
6.8	0.32	0.18	7.5
6.1	0.6	0	1.3
5.3	0.395	0.07	1.3
7.9	0.16	0.3	4.8
7.6	0.33	0.36	2.1
7.8	0.3	0.29	16.85
7.8	0.3	0.29	16.85
5.7	0.26	0.27	4.1
7.8	0.3	0.29	16.85
7.5	0.14	0.34	1.3
7.8	0.3	0.29	16.85
6.6	0.25	0.41	7.4
5.7	0.26	0.27	4.1
8.2	0.23	0.49	0.9
6	0.24	0.32	6.3
6.1	0.45	0.27	0.8
7.4	0.23	0.43	1.4
7.2	0.2	0.38	1
7.5	0.14	0.34	1.3
7.7	0.25	0.43	4.5
8.2	0.61	0.45	5.4
7.6	0.21	0.44	1.9
7.4	0.22	0.33	2
7.2	0.26	0.26	12.7
6.4	0.25	0.41	8.6
6.3	0.32	0.35	11.1
6.8	0.25	0.29	2
9.8	0.44	0.4	2.8
7.2	0.2	0.25	4.5
8.2	0.61	0.45	5.4
7.5	0.42	0.45	9.1
7.4	0.22	0.33	2
6.4	0.26	0.3	2.2
7.9	0.46	0.32	4.1
6.5	0.41	0.64	11.8
7.5	0.32	0.37	1.2
6.6	0.21	0.38	2.2
7.1	0.21	0.3	1.4
7.6	0.26	0.47	1.6
7.6	0.21	0.44	1.9
6.9	0.25	0.26	5.2
7.1	0.26	0.32	14.45
7.3	0.22	0.4	14.75
6.2	0.37	0.22	8.3
7.9	0.22	0.45	14.2
6.9	0.25	0.26	5.2
7.3	0.22	0.4	14.75
7.1	0.26	0.32	14.45
7.4	0.25	0.37	6.9
6.8	0.18	0.37	1.5
7	0.17	0.37	1.5
6.4	0.3	0.38	7.8
5	0.33	0.16	1.5
5	0.33	0.16	1.5
8.9	0.33	0.32	1.5
7	0.26	0.46	15.55
6.4	0.3	0.38	7.8
6.3	0.21	0.4	1.7
8	0.23	0.46	1.5
9.2	0.28	0.41	1
7.3	0.27	0.39	6.7
7.6	0.32	0.36	1.6
5	0.33	0.16	1.5
9.7	0.24	0.45	1.2
8	0.28	0.42	7.1
8.2	0.37	0.36	1
8	0.61	0.38	12.1
7.2	0.26	0.44	7.1
8.2	0.37	0.36	1
6.4	0.23	0.33	1.15
5.9	0.4	0.32	6
7.6	0.28	0.39	1.2
8	0.28	0.42	7.1
7.2	0.23	0.39	2.3
6.8	0.32	0.37	3.4
7.2	0.23	0.39	2.3
6.9	0.18	0.38	6.5
9.4	0.26	0.53	1.2
8.3	0.33	0.42	1.15
7.3	0.29	0.3	13
7.9	0.41	0.37	4.5
7.9	0.44	0.37	5.85
7.7	0.39	0.3	5.2
7.7	0.26	0.31	1.3
7.8	0.32	0.31	1.7
6.8	0.32	0.37	3.4
7.3	0.24	0.39	3.6
7.1	0.44	0.37	2.7
10.3	0.25	0.48	2.2
7.9	0.14	0.28	1.8
7.4	0.18	0.42	2.1
8.1	0.43	0.42	6.6
7.1	0.44	0.37	2.7
6.4	0.26	0.22	5.1
8	0.66	0.72	17.55
8	0.2	0.4	5.2
7.2	0.21	0.34	1.1
7.2	0.18	0.31	1.1
8.4	0.57	0.44	10.7
5.3	0.26	0.23	5.15
5.7	0.245	0.33	1.1
5.6	0.245	0.32	1.1
7.3	0.25	0.41	1.8
7	0.16	0.73	1
6.4	0.22	0.34	1.8
7.3	0.18	0.65	1.4
6.4	0.17	0.27	6.7
6.9	0.29	0.16	6.8
6.2	0.21	0.38	6.8
6.4	0.23	0.3	7.1
7.3	0.19	0.68	1.5
7.3	0.18	0.65	1.4
9.6	0.29	0.46	1.45
7.2	0.14	0.35	1.2
6.9	0.31	0.34	7.4
7.5	0.28	0.34	4.2
8	0.22	0.42	14.6
7.6	0.31	0.29	10.5
8.4	0.35	0.56	13.8
8	0.22	0.42	14.6
8.1	0.5	0.47	1.1
7	0.39	0.31	5.3
8.1	0.5	0.47	1.1
8.4	0.35	0.56	13.8
6.2	0.22	0.27	1.5
8	0.22	0.42	14.6
7.6	0.31	0.29	10.5
7	0.24	0.36	4.9
6.6	0.27	0.3	1.9
7.8	0.16	0.41	1.7
7.7	0.27	0.34	1.8
7.4	0.31	0.74	10.7
8	0.45	0.36	8.8
7.7	0.27	0.34	1.8
7.8	0.16	0.41	1.7
6.6	0.16	0.29	1.8
8.3	0.21	0.4	1.6
7.2	0.32	0.33	1.4
6.6	0.16	0.3	1.6
8.4	0.16	0.33	1.5
7.5	0.23	0.32	9.2
6.2	0.17	0.3	1.1
6.9	0.39	0.22	4.3
6.9	0.41	0.22	4.2
7.5	0.23	0.32	9.2
7.5	0.38	0.33	5
7.3	0.42	0.38	6.8
7.3	0.34	0.39	5.2
7.8	0.23	0.28	4.75
9	0.245	0.38	5.9
6.9	0.2	0.4	7.7
7.4	0.19	0.42	6.4
8.2	0.2	0.36	8.1
8	0.59	0.71	17.35
7.9	0.14	0.45	1.8
6.8	0.24	0.4	1.8
9.7	0.14	0.59	1.5
9.2	0.15	0.68	1.6
9.4	0.17	0.55	1.6
5.2	0.365	0.08	13.5
6.3	0.23	0.22	3.75
9.6	0.25	0.54	1.3
9.2	0.32	0.42	1.3
6.4	0.31	0.4	6.2
8.1	0.2	0.36	9.7
7.9	0.255	0.26	2
7	0.15	0.34	1.4
6.4	0.15	0.31	1.1
6.4	0.25	0.53	6.6
7.6	0.19	0.42	1.5
7.3	0.43	0.37	4.6
5.1	0.31	0.3	0.9
6.2	0.2	0.26	1.7
6.9	0.16	0.35	1.3
7.7	0.32	0.48	2.3
6.5	0.22	0.72	6.8
6.8	0.26	0.33	1.5
5.2	0.37	0.33	1.2
8.4	0.19	0.43	2.1
8.3	0.21	0.41	2.2
6.8	0.15	0.32	8.8
7.9	0.16	0.64	17
7.8	0.21	0.39	1.8
9	0.24	0.5	1.2
5.7	0.21	0.24	2.3
7.8	0.29	0.36	7
6.7	0.18	0.3	6.4
6.7	0.18	0.3	6.4
8.4	0.58	0.27	12.15
7.2	0.16	0.32	0.8
7.6	0.54	0.23	2
8.4	0.58	0.27	12.15
6.6	0.25	0.31	12.4
7.3	0.23	0.37	1.9
7.3	0.39	0.37	1.1
7	0.46	0.39	6.2
8.2	0.35	0.4	6.3
7.8	0.29	0.36	7
9.2	0.35	0.39	0.9
8	0.57	0.39	3.9
6.5	0.37	0.33	3.9
5.7	0.21	0.24	2.3
6.7	0.18	0.3	6.4
7.8	0.13	0.3	1.8
7.6	0.19	0.41	1.1
7.3	0.22	0.41	15.4
6.3	0.29	0.4	6.5
6.8	0.35	0.32	2.4
6.5	0.19	0.32	1.4
6.2	0.12	0.26	5.7
6	0.13	0.28	5.7
6.4	0.25	0.33	1.4
6.9	0.32	0.16	1.4
7.6	0.19	0.41	1.1
6.7	0.13	0.28	1.2
7	0.14	0.41	0.9
7.6	0.27	0.24	3.8
7.3	0.22	0.41	15.4
7.4	0.64	0.47	14.15
7.6	0.28	0.39	1.9
8.3	0.26	0.41	9.2
10.7	0.22	0.56	8.2
10.7	0.22	0.56	8.2
6.9	0.23	0.34	2.7
6.2	0.3	0.32	1.7
6.9	0.27	0.41	1.7
6.9	0.28	0.41	1.7
6.9	0.28	0.3	1.6
6.9	0.46	0.2	0.9
6.9	0.38	0.32	8.5
5.7	0.43	0.3	5.7
6.6	0.56	0.16	3.1
7.1	0.36	0.56	1.3
6.8	0.23	0.4	1.6
6.2	0.33	0.29	1.3
5.6	0.49	0.13	4.5
6.6	0.42	0.33	2.8
7.3	0.18	0.29	1.2
8.1	0.19	0.4	0.9
5.9	0.19	0.26	7.4
6.2	0.16	0.47	1.4
6.6	0.42	0.33	2.8
5.7	0.135	0.3	4.6
5.6	0.49	0.13	4.5
6.9	0.19	0.33	1.6
7.3	0.18	0.29	1.2
7.3	0.25	0.36	13.1
7.3	0.25	0.36	13.1
7	0.2	0.34	5.7
7.3	0.25	0.36	13.1
6.3	0.67	0.48	12.6
7.4	0.4	0.29	5.4
7.1	0.26	0.31	2.2
9	0.31	0.48	6.6
6.3	0.39	0.24	6.9
8.2	0.22	0.36	6.8
7.1	0.19	0.28	3.6
7.3	0.25	0.36	13.1
7.9	0.2	0.34	1.2
7.1	0.26	0.32	5.9
7	0.2	0.34	5.7
6.9	0.3	0.33	4.1
8.1	0.29	0.49	7.1
5.8	0.17	0.3	1.4
5.9	0.415	0.02	0.8
6.6	0.23	0.26	1.3
8.6	0.55	0.35	15.55
6.9	0.35	0.74	1
7.6	0.14	0.74	1.6
9.2	0.28	0.49	11.8
6.2	0.18	0.49	4.5
5.3	0.165	0.24	1.1
9.8	0.25	0.74	10
8.1	0.29	0.49	7.1
6.8	0.22	0.49	0.9
7.2	0.22	0.49	1
7.4	0.25	0.49	1.1
8.2	0.18	0.49	1.1
6.1	0.22	0.49	1.5
7	0.39	0.24	1
6.1	0.22	0.49	1.5
6.5	0.36	0.49	2.9
7.1	0.29	0.49	1.2
7.4	0.25	0.49	1.1
6.9	0.23	0.24	14.2
8.5	0.56	0.74	17.85
8.2	0.18	0.49	1.1
6.3	0.23	0.49	7.1
6.1	0.25	0.49	7.6
7.2	0.26	0.74	13.6
7.2	0.31	0.24	1.4
8	0.25	0.49	1.2
7	0.18	0.49	5.3
7.8	0.43	0.49	13
8.3	0.2	0.74	4.45
6.3	0.27	0.49	1.2
7.4	0.16	0.49	1.2
7.4	0.16	0.49	1.2
6.9	0.19	0.49	6.6
7.8	0.43	0.49	13
7.2	0.4	0.49	1.1
7.8	0.43	0.49	13
7.6	0.52	0.49	14
8.3	0.21	0.49	19.8
6.9	0.34	0.74	11.2
6.3	0.27	0.49	1.2
8.3	0.2	0.74	4.45
7.1	0.22	0.74	2.7
7.9	0.11	0.49	4.5
8.5	0.17	0.74	3.6
6.4	0.145	0.49	5.4
7.4	0.16	0.49	1.2
8.3	0.19	0.49	1.2
8	0.44	0.49	9.1
7	0.2	0.74	0.8
6.9	0.19	0.49	6.6
7.1	0.25	0.49	3
6.5	0.24	0.24	1.6
7.2	0.4	0.49	1.1
7.6	0.52	0.49	14
7.8	0.43	0.49	13
7.8	0.21	0.49	1.35
7	0.2	0.49	5.9
6.9	0.25	0.24	3.6
7.2	0.08	0.49	1.3
7.1	0.85	0.49	8.7
7.6	0.51	0.24	1.2
7.9	0.22	0.24	4.6
7.7	0.16	0.49	2
7.2	0.08	0.49	1.3
6.6	0.25	0.24	1.7
6.7	0.16	0.49	2.4
6.9	0.25	0.24	3.6
7.5	0.32	0.24	4.6
7.4	0.28	0.49	1.5
6.2	0.15	0.49	0.9
6.7	0.25	0.74	19.4
6.5	0.26	0.74	13.3
7.9	0.16	0.74	17.85
5.6	0.185	0.49	1.1
7.5	0.2	0.49	1.3
8	0.3	0.49	9.4
8	0.34	0.49	9
7.7	0.35	0.49	8.65
7.6	0.29	0.49	9.6
6.7	0.62	0.24	1.1
6.8	0.27	0.49	1.2
7.7	0.27	0.49	1.8
6.7	0.51	0.24	2.1
7.4	0.19	0.49	9.3
8.3	0.2	0.49	1.7
6.6	0.3	0.24	1.2
6.8	0.36	0.24	4.6
7	0.17	0.74	12.8
9.2	0.18	0.49	1.5
8.1	0.2	0.49	8.1
7.8	0.26	0.74	7.5
6.8	0.21	0.49	14.5
7.9	0.2	0.49	1.6
8	0.18	0.49	1.8
8.8	0.23	0.74	3.2
7.3	0.22	0.49	9.4
7.3	0.22	0.49	9.9
7.4	0.19	0.49	9.3
7.3	0.155	0.49	1.3
8.2	0.22	0.49	9.6
8.2	0.24	0.49	9.3
8.4	0.23	0.49	7.8
8.3	0.2	0.49	1.7
8.3	0.2	0.49	1.7
6.6	0.3	0.24	1.2
6.9	0.21	0.49	1.4
8	0.25	0.49	9
6.6	0.21	0.49	18.15
7.2	0.27	0.74	12.5
14.2	0.27	0.49	1.1
7.9	0.28	0.49	7.7
7.4	0.27	0.49	1.1
6.6	0.21	0.49	18.15
7.2	0.27	0.74	12.5
8.1	0.3	0.49	8.1
7.5	0.23	0.49	7.7
7.3	0.26	0.49	5
7.1	0.18	0.74	15.6
8.5	0.15	0.49	1.5
8.9	0.13	0.49	1
8.1	0.28	0.49	1
6	0.17	0.49	1
7.3	0.26	0.49	5
7.1	0.18	0.74	15.6
7.1	0.53	0.24	0.8
7.2	0.16	0.49	1.3
7.3	0.14	0.49	1.1
8.9	0.13	0.49	1
7.9	0.12	0.49	5.2
6.7	0.29	0.49	4.7
6.7	0.3	0.49	4.8
7.1	0.36	0.24	1.8
8.5	0.15	0.49	1.5
7.9	0.18	0.49	5.2
6.6	0.19	0.99	1.2
7.3	0.21	0.49	1.8
6.9	0.3	0.49	7.6
7.9	0.42	0.49	8.2
6.9	0.24	0.49	1.3
7.6	0.23	0.49	10
7.9	0.18	0.49	5.2
6.2	0.43	0.49	6.4
8.8	0.35	0.49	1
7.8	0.3	0.74	1.8
9.1	0.28	0.49	2
7.1	0.34	0.49	1.5
7.8	0.3	0.74	1.8
9.1	0.28	0.49	2
8.5	0.19	0.49	3.5
7.6	0.18	0.49	18.05
7.5	0.19	0.49	1.8
7.4	0.3	0.49	8.2
6.7	0.3	0.74	5
6.6	0.3	0.74	4.6
7.4	0.3	0.49	8.2
6.9	0.22	0.49	7
7.8	0.26	0.49	3.1
8.5	0.17	0.49	8.8
6.8	0.17	0.74	2.4
6.2	0.27	0.49	1.4
7.1	0.64	0.49	1.8
6.4	0.18	0.74	11.9
7.6	0.31	0.49	13.4
9.8	0.31	0.49	15.4
9	0.3	0.49	7.2
8.4	0.24	0.49	7.4
6.4	0.18	0.74	11.9
6.4	0.25	0.74	7.8
7.3	0.3	0.74	13.5
9.3	0.31	0.49	1.3
6.4	0.25	0.74	7.8
7.3	0.3	0.74	13.5
7	0.27	0.74	1.5
7.9	0.14	0.74	1.2
6.4	0.12	0.49	6.4
6.8	0.21	0.74	1.2
8.6	0.16	0.49	7.3
7	0.29	0.49	3.8
6.4	0.27	0.49	7.3
6.6	0.55	0.01	2.7
6.4	0.27	0.49	7.3
6.3	0.24	0.74	1.4
6.7	0.33	0.49	1.6
7	0.29	0.49	3.8
8.2	0.34	0.49	8
5.6	0.39	0.24	4.7
5.6	0.41	0.24	1.9
6.7	0.41	0.01	2.8
7.1	0.26	0.49	2.2
7.5	0.32	0.49	1.7
5.8	0.19	0.49	4.9
6.9	0.27	0.49	23.5
8.1	0.2	0.49	11.8
7.5	0.32	0.49	1.7
8.2	0.26	0.49	5.2
7.8	0.26	0.49	3.2
8	0.14	0.49	1.5
8	0.29	0.49	11.7
7.5	0.19	0.49	1.6
6.9	0.34	0.49	7.3
6.2	0.2	0.49	1.6
6.4	0.37	0.49	13.3
6.2	0.22	0.49	6
7.8	0.26	0.49	3.2
8.9	0.32	0.49	1.6
6.5	0.44	0.49	7.7
7	0.14	0.49	5.9
9	0.17	0.49	1
6.4	0.26	0.49	6.4
9	0.22	0.49	10.4
8.9	0.32	0.49	1.6
8.2	0.2	0.49	3.5
7.8	0.15	0.24	7.7
6.9	0.25	0.24	1.8
8.2	0.2	0.49	3.5
7.1	0.28	0.49	6.5
7.4	0.19	0.49	6.7
8.3	0.25	0.49	16.8
7.5	0.14	0.74	1.6
7.8	0.49	0.49	7
8.1	0.12	0.49	1.2
7.6	0.47	0.49	13
7.9	0.22	0.49	3.8
7.8	0.49	0.49	7
6.4	0.22	0.49	7.5
7.3	0.19	0.49	15.55
8.1	0.3	0.49	12.3
7.3	0.19	0.49	15.55
7.5	0.24	0.49	9.4
6.4	0.22	0.49	7.5
7.8	0.21	0.49	1.2
7.1	0.3	0.49	1.6
6.9	0.26	0.49	1.6
7.6	0.31	0.49	3.95
6.4	0.42	0.74	12.8
8.2	0.29	0.49	1
7.9	0.33	0.28	31.6
6.6	0.46	0.49	7.4
7.8	0.28	0.49	1.3
5.8	0.15	0.49	1.1
7.8	0.4	0.49	7.8
6.6	0.31	0.49	7.7
6.6	0.325	0.49	7.7
6.6	0.27	0.49	7.8
6.7	0.26	0.49	8.3
6.7	0.21	0.49	1.4
7.9	0.33	0.28	31.6
8.1	0.28	0.46	15.4
6.5	0.13	0.37	1
7.8	0.445	0.56	1
8.8	0.39	0.34	5.9
7.9	0.18	0.33	1.2
7.1	0.31	0.38	1.2
7.8	0.24	0.18	6.7
7	0.35	0.3	6.5
6.6	0.26	0.31	4.8
6.6	0.27	0.31	5.3
6.8	0.22	0.29	8.9
6.2	0.27	0.32	8.8
7	0.35	0.3	6.5
7.3	0.23	0.37	1.8
6.2	0.3	0.2	6.6
6.4	0.35	0.2	5.7
7.6	0.32	0.34	18.35
6.3	0.31	0.3	10
7.2	0.25	0.28	14.4
7.2	0.25	0.28	14.4
7.3	0.26	0.33	17.85
7.2	0.25	0.28	14.4
7.4	0.26	0.37	9.4
7.3	0.26	0.33	17.85
6.7	0.25	0.26	1.55
7.1	0.16	0.25	1.3
9	0.43	0.3	1.5
7.2	0.25	0.28	14.4
7	0.24	0.3	4.2
6.7	0.265	0.22	8.6
7.7	0.12	0.32	1.4
7.2	0.21	0.33	3
8.5	0.32	0.36	14.9
6.9	0.18	0.3	2
7	0.24	0.3	4.2
6.3	0.26	0.29	2.2
6.7	0.26	0.3	1.8
7.9	0.29	0.36	11.1
6.5	0.27	0.19	4.2
6.7	0.33	0.42	6.4
6.7	0.31	0.42	6.4
6.6	0.25	0.31	1.5
6.4	0.24	0.22	1.5
6.8	0.26	0.29	16.95
7	0.61	0.26	1.7
6.8	0.22	0.3	13.6
8.1	0.31	0.24	1.6
7	0.2	0.3	6.1
7.9	0.18	0.37	3
6.6	0.34	0.27	6.2
6.8	0.3	0.24	6.6
6.5	0.18	0.34	1.6
7	0.21	0.31	6
6.8	0.27	0.32	1.5
9.3	0.2	0.33	1.7
5.8	0.23	0.27	1.8
7.6	0.2	0.39	2.6
8.2	0.15	0.48	2.7
7.5	0.4	1	19.5
6.5	0.18	0.34	1.6
7	0.13	0.3	5
6.9	0.17	0.22	4.6
7	0.3	0.32	6.4
7.6	0.445	0.44	14.5
6.8	0.3	0.24	6.6
7.5	0.22	0.33	6.7
9.2	0.23	0.3	1.1
8.7	0.34	0.46	13.8
6.6	0.545	0.04	2.5
8.1	0.3	0.31	1.1
6.9	0.16	0.3	9.6
8	0.32	0.36	4.6
6.1	0.22	0.23	3.1
6.9	0.16	0.3	9.6
7.5	0.15	0.38	1.8
8.4	0.29	0.29	1.05
6.6	0.37	0.47	6.5
7.7	0.38	0.4	2
6.3	0.25	0.23	14.9
8.3	0.3	0.36	10
6.6	0.22	0.58	1.1
6.1	0.34	0.31	12
7.5	0.22	0.29	4.8
8.3	0.3	0.36	10
8	0.27	0.24	1.2
6.1	0.17	0.27	1.5
7.4	0.18	0.3	10.4
6.7	0.16	0.28	2.5
6.1	0.255	0.44	12.3
7.4	0.23	0.25	1.4
6.4	0.16	0.28	2.2
6.3	0.25	0.23	14.9
6.7	0.27	0.25	8
6.9	0.29	0.23	8.6
9.6	0.21	0.28	1.2
6.6	0.62	0.2	8.7
6.4	0.28	0.19	5.4
8	0.3	0.28	5.7
6.4	0.17	0.27	1.5
7.3	0.21	0.3	10.9
6.7	0.27	0.25	8
6.9	0.29	0.23	8.6
6.6	0.32	0.26	7.7
7.4	0.32	0.22	1.7
6.6	0.37	0.07	1.4
7.7	0.43	0.28	4.5
7.8	0.39	0.26	9.9
6.5	0.18	0.26	1.4
7.8	0.4	0.26	9.5
7.8	0.39	0.26	9.9
6.9	0.19	0.28	3
7.7	0.49	1	19.6
6.6	0.25	0.35	14
6.5	0.18	0.26	1.4
6.4	0.15	0.36	1.8
6.4	0.15	0.36	1.8
8.4	0.17	0.31	5.4
6.1	0.32	0.37	1.8
8.5	0.21	0.26	9.25
8.7	0.45	0.4	1.5
6.7	0.24	0.29	6.8
8.5	0.21	0.26	9.25
7.4	0.33	0.26	2.6
7.2	0.26	0.3	2.1
8.2	0.36	0.29	7.6
7.8	0.2	0.24	1.6
9.4	0.16	0.3	1.4
6.4	0.33	0.24	1.6
